Date,Real,Predictions
2017-06-01 00:00:00,84.75,25.39074
2017-06-01 00:05:00,84.2,26.102898
2017-06-01 00:10:00,85.8,26.915443
2017-06-01 00:15:00,84.8,27.855017
2017-06-01 00:20:00,86.8,28.785421
2017-06-01 00:25:00,85.0,29.794052
2017-06-01 00:30:00,84.8,31.085659
2017-06-01 00:35:00,82.8,32.492302
2017-06-01 00:40:00,88.6,34.224064
2017-06-01 00:45:00,88.2,36.654186
2017-06-01 00:50:00,95.8,39.235706
2017-06-01 00:55:00,86.4,42.97795
2017-06-01 01:00:00,92.25,48.885826
2017-06-01 01:05:00,93.0,58.465458
2017-06-01 01:10:00,91.25,70.32336
2017-06-01 01:15:00,94.4,80.991104
2017-06-01 01:20:00,95.6,86.66685
2017-06-01 01:25:00,96.0,89.627075
2017-06-01 01:30:00,96.4,90.944565
2017-06-01 01:35:00,96.66666666666669,91.837494
2017-06-01 01:40:00,95.66666666666669,92.629814
2017-06-01 01:45:00,97.6,92.96743
2017-06-01 01:50:00,100.4,93.16914
2017-06-01 01:55:00,96.0,93.310005
2017-06-01 02:00:00,98.8,93.41503
2017-06-01 02:05:00,96.6,93.76321
2017-06-01 02:10:00,101.8,94.01469
2017-06-01 02:15:00,102.2,94.44256
2017-06-01 02:20:00,101.5,94.76415
2017-06-01 02:25:00,101.4,95.188446
2017-06-01 02:30:00,103.4,95.68625
2017-06-01 02:35:00,103.6,96.371704
2017-06-01 02:40:00,100.0,97.25634
2017-06-01 02:45:00,100.4,98.32365
2017-06-01 02:50:00,100.2,98.39377
2017-06-01 02:55:00,104.75,98.468636
2017-06-01 03:00:00,100.25,98.55573
2017-06-01 03:05:00,99.0,98.61814
2017-06-01 03:10:00,100.8,98.63284
2017-06-01 03:15:00,100.6,98.63901
2017-06-01 03:20:00,101.2,98.61704
2017-06-01 03:25:00,99.2,98.6029
2017-06-01 03:30:00,99.0,98.55827
2017-06-01 03:35:00,97.8,98.54874
2017-06-01 03:40:00,97.4,98.51531
2017-06-01 03:45:00,97.6,98.484604
2017-06-01 03:50:00,98.4,98.44115
2017-06-01 03:55:00,99.8,98.393936
2017-06-01 04:00:00,100.2,98.3873
2017-06-01 04:05:00,100.8,98.37105
2017-06-01 04:10:00,102.0,98.386345
2017-06-01 04:15:00,100.5,98.41779
2017-06-01 04:20:00,94.6,98.44557
2017-06-01 04:25:00,94.0,98.44997
2017-06-01 04:30:00,94.4,98.38061
2017-06-01 04:35:00,95.0,98.38746
2017-06-01 04:40:00,101.0,98.39575
2017-06-01 04:45:00,100.6,98.41354
2017-06-01 04:50:00,101.8,98.43331
2017-06-01 04:55:00,103.2,98.49573
2017-06-01 05:00:00,97.5,98.5472
2017-06-01 05:05:00,96.4,98.57157
2017-06-01 05:10:00,96.4,98.551476
2017-06-01 05:15:00,95.0,98.55879
2017-06-01 05:20:00,96.5,98.65577
2017-06-01 05:25:00,99.4,98.78823
2017-06-01 05:30:00,99.8,98.92823
2017-06-01 05:35:00,99.6,99.0939
2017-06-01 05:40:00,99.4,99.19313
2017-06-01 05:45:00,101.2,99.16087
2017-06-01 05:50:00,107.0,99.25907
2017-06-01 05:55:00,102.8,99.310234
2017-06-01 06:00:00,104.0,99.228
2017-06-01 06:05:00,101.6,99.00883
2017-06-01 06:10:00,99.8,98.59215
2017-06-01 06:15:00,101.4,97.98911
2017-06-01 06:20:00,105.4,97.196396
2017-06-01 06:25:00,101.2,96.20835
2017-06-01 06:30:00,97.6,94.963
2017-06-01 06:35:00,96.6,93.63229
2017-06-01 06:40:00,94.6,92.06711
2017-06-01 06:45:00,92.2,90.27875
2017-06-01 06:50:00,87.8,90.05657
2017-06-01 06:55:00,100.6,89.890274
2017-06-01 07:00:00,88.2,89.64804
2017-06-01 07:05:00,89.8,89.42535
2017-06-01 07:10:00,88.8,89.307304
2017-06-01 07:15:00,87.5,89.15846
2017-06-01 07:20:00,87.5,88.93944
2017-06-01 07:25:00,84.6,88.73341
2017-06-01 07:30:00,85.2,88.66607
2017-06-01 07:35:00,86.8,88.67735
2017-06-01 07:40:00,91.2,88.60137
2017-06-01 07:45:00,90.2,88.54465
2017-06-01 07:50:00,84.6,88.441536
2017-06-01 07:55:00,92.0,88.40941
2017-06-01 08:00:00,87.0,88.48854
2017-06-01 08:05:00,88.6,88.52828
2017-06-01 08:10:00,89.8,88.605644
2017-06-01 08:15:00,93.25,88.682594
2017-06-01 08:20:00,91.8,88.70653
2017-06-01 08:25:00,93.2,88.88419
2017-06-01 08:30:00,101.0,89.023674
2017-06-01 08:35:00,103.6,89.07696
2017-06-01 08:40:00,90.5,89.114204
2017-06-01 08:45:00,92.2,89.07513
2017-06-01 08:50:00,92.0,89.08022
2017-06-01 08:55:00,94.0,89.138794
2017-06-01 09:00:00,91.0,89.11982
2017-06-01 09:05:00,93.4,89.14601
2017-06-01 09:10:00,94.2,89.1878
2017-06-01 09:15:00,93.25,89.17693
2017-06-01 09:20:00,88.25,89.06639
2017-06-01 09:25:00,89.0,88.933685
2017-06-01 09:30:00,88.0,88.643684
2017-06-01 09:35:00,88.0,88.24253
2017-06-01 09:40:00,93.25,87.83434
2017-06-01 09:45:00,98.2,87.447235
2017-06-01 09:50:00,95.4,87.17519
2017-06-01 09:55:00,94.4,86.95672
2017-06-01 10:00:00,95.6,86.69793
2017-06-01 10:05:00,98.0,86.71363
2017-06-01 10:10:00,94.6,86.76364
2017-06-01 10:15:00,93.4,86.871124
2017-06-01 10:20:00,89.8,86.873116
2017-06-01 10:25:00,86.6,86.62845
2017-06-01 10:30:00,89.8,86.27311
2017-06-01 10:35:00,88.2,85.80744
2017-06-01 10:40:00,93.6,85.0107
