Date,Real,Predictions
2017-06-01 00:00:00,94.8,93.523636
2017-06-01 00:05:00,93.6,93.05214
2017-06-01 00:10:00,91.2,92.36064
2017-06-01 00:15:00,92.2,91.68672
2017-06-01 00:20:00,89.6,91.51355
2017-06-01 00:25:00,93.5,91.7166
2017-06-01 00:30:00,87.4,92.011604
2017-06-01 00:35:00,85.8,92.42466
2017-06-01 00:40:00,89.4,93.02918
2017-06-01 00:45:00,93.0,93.80222
2017-06-01 00:50:00,94.75,94.3607
2017-06-01 00:55:00,91.8,94.89779
2017-06-01 01:00:00,91.8,95.16593
2017-06-01 01:05:00,94.39999999999999,95.53685
2017-06-01 01:10:00,95.75,95.56721
2017-06-01 01:15:00,97.8,95.70825
2017-06-01 01:20:00,99.0,95.92746
2017-06-01 01:25:00,94.39999999999999,96.225464
2017-06-01 01:30:00,96.0,96.60251
2017-06-01 01:35:00,95.6,97.03005
2017-06-01 01:40:00,96.0,97.485085
2017-06-01 01:45:00,100.8,97.919945
2017-06-01 01:50:00,100.60000000000001,98.40649
2017-06-01 01:55:00,93.6,98.884315
2017-06-01 02:00:00,96.8,99.386
2017-06-01 02:05:00,97.0,99.83651
2017-06-01 02:10:00,99.4,100.167534
2017-06-01 02:15:00,97.4,100.426674
2017-06-01 02:20:00,99.0,100.57387
2017-06-01 02:25:00,102.0,100.626144
2017-06-01 02:30:00,104.4,100.43733
2017-06-01 02:35:00,106.79999999999998,100.106155
2017-06-01 02:40:00,100.8,99.67807
2017-06-01 02:45:00,103.6,99.375114
2017-06-01 02:50:00,104.0,99.39076
2017-06-01 02:55:00,106.6,99.37646
2017-06-01 03:00:00,106.6,99.46072
2017-06-01 03:05:00,106.4,99.666084
2017-06-01 03:10:00,112.80000000000001,99.54403
2017-06-01 03:15:00,108.0,99.47035
2017-06-01 03:20:00,104.8,99.45131
2017-06-01 03:25:00,103.6,99.487686
2017-06-01 03:30:00,102.8,99.43082
2017-06-01 03:35:00,101.4,99.460045
2017-06-01 03:40:00,101.0,99.44915
2017-06-01 03:45:00,97.0,99.38299
2017-06-01 03:50:00,94.2,99.31356
2017-06-01 03:55:00,97.6,99.34072
2017-06-01 04:00:00,98.8,99.38672
2017-06-01 04:05:00,101.2,99.51842
2017-06-01 04:10:00,100.40000000000002,99.6893
2017-06-01 04:15:00,105.6,99.807
2017-06-01 04:20:00,99.0,99.84104
2017-06-01 04:25:00,98.6,99.821686
2017-06-01 04:30:00,97.0,99.78962
2017-06-01 04:35:00,95.8,99.81343
2017-06-01 04:40:00,96.6,99.80238
2017-06-01 04:45:00,94.8,99.714554
2017-06-01 04:50:00,98.4,99.73371
2017-06-01 04:55:00,94.0,99.71844
2017-06-01 05:00:00,94.39999999999999,99.81554
2017-06-01 05:05:00,92.0,99.84252
2017-06-01 05:10:00,91.6,99.86037
2017-06-01 05:15:00,94.49999999999999,99.70896
2017-06-01 05:20:00,99.5,99.55314
2017-06-01 05:25:00,104.6,99.43871
2017-06-01 05:30:00,106.0,99.2388
2017-06-01 05:35:00,101.2,98.99399
2017-06-01 05:40:00,97.0,98.788445
2017-06-01 05:45:00,97.0,98.458885
2017-06-01 05:50:00,97.8,98.02019
2017-06-01 05:55:00,98.4,97.57492
2017-06-01 06:00:00,101.6,97.10106
2017-06-01 06:05:00,100.2,96.55161
2017-06-01 06:10:00,98.8,95.967125
2017-06-01 06:15:00,100.66666666666669,95.278046
2017-06-01 06:20:00,97.8,94.25906
2017-06-01 06:25:00,94.39999999999999,92.76808
2017-06-01 06:30:00,89.6,90.606415
2017-06-01 06:35:00,93.0,87.54043
2017-06-01 06:40:00,91.75,83.68705
2017-06-01 06:45:00,85.6,79.7997
2017-06-01 06:50:00,82.4,79.24232
2017-06-01 06:55:00,81.6,78.60258
2017-06-01 07:00:00,82.6,77.96016
2017-06-01 07:05:00,81.0,77.41753
2017-06-01 07:10:00,77.8,76.97859
2017-06-01 07:15:00,76.6,76.62113
2017-06-01 07:20:00,78.0,76.03224
2017-06-01 07:25:00,78.0,75.580376
2017-06-01 07:30:00,77.8,75.20759
2017-06-01 07:35:00,79.6,74.93161
2017-06-01 07:40:00,76.4,74.63698
2017-06-01 07:45:00,74.2,74.29282
2017-06-01 07:50:00,73.0,73.959465
2017-06-01 07:55:00,70.6,73.67256
2017-06-01 08:00:00,55.75,73.30201
2017-06-01 08:05:00,38.4,72.812096
2017-06-01 08:10:00,64.0,72.35375
2017-06-01 08:15:00,73.4,71.854485
2017-06-01 08:20:00,82.4,71.305916
2017-06-01 08:25:00,91.6,70.673454
2017-06-01 08:30:00,84.2,70.14866
2017-06-01 08:35:00,90.2,69.37932
2017-06-01 08:40:00,96.0,68.73905
2017-06-01 08:45:00,90.4,68.01873
2017-06-01 08:50:00,91.4,67.420334
2017-06-01 08:55:00,93.4,67.21738
2017-06-01 09:00:00,95.6,67.4193
2017-06-01 09:05:00,84.8,67.650024
2017-06-01 09:10:00,91.6,68.09795
2017-06-01 09:15:00,88.8,69.52494
