Date,Real,Predictions
2017-06-01 00:00:00,84.75,22.023703
2017-06-01 00:05:00,84.2,22.579485
2017-06-01 00:10:00,85.8,23.200232
2017-06-01 00:15:00,84.8,23.987461
2017-06-01 00:20:00,86.8,24.645842
2017-06-01 00:25:00,85.0,25.258245
2017-06-01 00:30:00,84.8,26.05335
2017-06-01 00:35:00,82.8,26.83391
2017-06-01 00:40:00,88.6,27.972145
2017-06-01 00:45:00,88.2,29.676203
2017-06-01 00:50:00,95.8,31.903524
2017-06-01 00:55:00,86.4,35.614502
2017-06-01 01:00:00,92.25,42.612114
2017-06-01 01:05:00,93.0,56.69856
2017-06-01 01:10:00,91.25,74.56275
2017-06-01 01:15:00,94.4,84.593575
2017-06-01 01:20:00,95.6,87.548416
2017-06-01 01:25:00,96.0,89.38346
2017-06-01 01:30:00,96.4,90.28802
2017-06-01 01:35:00,96.66666666666669,90.53242
2017-06-01 01:40:00,95.66666666666669,91.245346
2017-06-01 01:45:00,97.6,91.645096
2017-06-01 01:50:00,100.4,92.18074
2017-06-01 01:55:00,96.0,92.906166
2017-06-01 02:00:00,98.8,93.31493
2017-06-01 02:05:00,96.6,94.114456
2017-06-01 02:10:00,101.8,94.585495
2017-06-01 02:15:00,102.2,95.40886
2017-06-01 02:20:00,101.5,95.855354
2017-06-01 02:25:00,101.4,96.39175
2017-06-01 02:30:00,103.4,96.90391
2017-06-01 02:35:00,103.6,97.46643
2017-06-01 02:40:00,100.0,97.94839
2017-06-01 02:45:00,100.4,98.44355
2017-06-01 02:50:00,100.2,98.85718
2017-06-01 02:55:00,104.75,99.22199
2017-06-01 03:00:00,100.25,99.5832
2017-06-01 03:05:00,99.0,99.82248
2017-06-01 03:10:00,100.8,99.884315
2017-06-01 03:15:00,100.6,99.90294
2017-06-01 03:20:00,101.2,99.81622
2017-06-01 03:25:00,99.2,99.746895
2017-06-01 03:30:00,99.0,99.543915
2017-06-01 03:35:00,97.8,99.45727
2017-06-01 03:40:00,97.4,99.25828
2017-06-01 03:45:00,97.6,99.06457
2017-06-01 03:50:00,98.4,98.84284
2017-06-01 03:55:00,99.8,98.60828
2017-06-01 04:00:00,100.2,98.562065
2017-06-01 04:05:00,100.8,98.47979
2017-06-01 04:10:00,102.0,98.513855
2017-06-01 04:15:00,100.5,98.59778
2017-06-01 04:20:00,94.6,98.68302
2017-06-01 04:25:00,94.0,98.716385
2017-06-01 04:30:00,94.4,98.484535
2017-06-01 04:35:00,95.0,98.62328
2017-06-01 04:40:00,101.0,98.76143
2017-06-01 04:45:00,100.6,98.91273
2017-06-01 04:50:00,101.8,99.05525
2017-06-01 04:55:00,103.2,99.28667
2017-06-01 05:00:00,97.5,99.46233
2017-06-01 05:05:00,96.4,99.55063
2017-06-01 05:10:00,96.4,99.45585
2017-06-01 05:15:00,95.0,99.316086
2017-06-01 05:20:00,96.5,99.328255
2017-06-01 05:25:00,99.4,99.2987
2017-06-01 05:30:00,99.8,99.24574
2017-06-01 05:35:00,99.6,99.29785
2017-06-01 05:40:00,99.4,99.22831
2017-06-01 05:45:00,101.2,98.74479
2017-06-01 05:50:00,107.0,98.87652
2017-06-01 05:55:00,102.8,99.09408
2017-06-01 06:00:00,104.0,99.09844
2017-06-01 06:05:00,101.6,99.07525
2017-06-01 06:10:00,99.8,98.92655
2017-06-01 06:15:00,101.4,98.623146
2017-06-01 06:20:00,105.4,98.25927
2017-06-01 06:25:00,101.2,98.00663
2017-06-01 06:30:00,97.6,97.53415
2017-06-01 06:35:00,96.6,97.266266
2017-06-01 06:40:00,94.6,96.65667
2017-06-01 06:45:00,92.2,95.710655
2017-06-01 06:50:00,87.8,94.5684
2017-06-01 06:55:00,100.6,93.50518
2017-06-01 07:00:00,88.2,92.01051
2017-06-01 07:05:00,89.8,90.590996
2017-06-01 07:10:00,88.8,89.77789
2017-06-01 07:15:00,87.5,88.93191
2017-06-01 07:20:00,87.5,87.98968
2017-06-01 07:25:00,84.6,87.33727
2017-06-01 07:30:00,85.2,87.115715
2017-06-01 07:35:00,86.8,87.13423
2017-06-01 07:40:00,91.2,86.94616
2017-06-01 07:45:00,90.2,86.81071
2017-06-01 07:50:00,84.6,86.58307
2017-06-01 07:55:00,92.0,86.55801
2017-06-01 08:00:00,87.0,86.8479
2017-06-01 08:05:00,88.6,87.08217
2017-06-01 08:10:00,89.8,87.45569
2017-06-01 08:15:00,93.25,87.85934
