Date,Real,Predictions
2017-06-01 00:00:00,84.75,27.018078
2017-06-01 00:05:00,84.2,27.87702
2017-06-01 00:10:00,85.8,28.695871
2017-06-01 00:15:00,84.8,29.588985
2017-06-01 00:20:00,86.8,30.311592
2017-06-01 00:25:00,85.0,30.64465
2017-06-01 00:30:00,84.8,30.559679
2017-06-01 00:35:00,82.8,29.999516
2017-06-01 00:40:00,88.6,29.05508
2017-06-01 00:45:00,88.2,30.806704
2017-06-01 00:50:00,95.8,38.19162
2017-06-01 00:55:00,86.4,57.144917
2017-06-01 01:00:00,92.25,80.335075
2017-06-01 01:05:00,93.0,90.70934
2017-06-01 01:10:00,91.25,91.83876
2017-06-01 01:15:00,94.4,91.70468
2017-06-01 01:20:00,95.6,92.41168
2017-06-01 01:25:00,96.0,93.27841
2017-06-01 01:30:00,96.4,93.83955
2017-06-01 01:35:00,96.66666666666669,94.24404
2017-06-01 01:40:00,95.66666666666669,94.749565
2017-06-01 01:45:00,97.6,95.20687
2017-06-01 01:50:00,100.4,95.66933
2017-06-01 01:55:00,96.0,96.19367
2017-06-01 02:00:00,98.8,96.59504
2017-06-01 02:05:00,96.6,96.96699
2017-06-01 02:10:00,101.8,97.19776
2017-06-01 02:15:00,102.2,97.427155
2017-06-01 02:20:00,101.5,97.58409
2017-06-01 02:25:00,101.4,97.73914
2017-06-01 02:30:00,103.4,97.97269
2017-06-01 02:35:00,103.6,98.33365
2017-06-01 02:40:00,100.0,98.72153
2017-06-01 02:45:00,100.4,99.245186
2017-06-01 02:50:00,100.2,99.30027
2017-06-01 02:55:00,104.75,99.352264
2017-06-01 03:00:00,100.25,99.40984
2017-06-01 03:05:00,99.0,99.45414
2017-06-01 03:10:00,100.8,99.46784
2017-06-01 03:15:00,100.6,99.47719
2017-06-01 03:20:00,101.2,99.46484
2017-06-01 03:25:00,99.2,99.454605
2017-06-01 03:30:00,99.0,99.44329
2017-06-01 03:35:00,97.8,99.433624
2017-06-01 03:40:00,97.4,99.42284
2017-06-01 03:45:00,97.6,99.41041
2017-06-01 03:50:00,98.4,99.35813
2017-06-01 03:55:00,99.8,99.34149
2017-06-01 04:00:00,100.2,99.33015
2017-06-01 04:05:00,100.8,99.339355
2017-06-01 04:10:00,102.0,99.352234
2017-06-01 04:15:00,100.5,99.359604
2017-06-01 04:20:00,94.6,99.346634
2017-06-01 04:25:00,94.0,99.33733
2017-06-01 04:30:00,94.4,99.30826
2017-06-01 04:35:00,95.0,99.30073
2017-06-01 04:40:00,101.0,99.33398
2017-06-01 04:45:00,100.6,99.36393
2017-06-01 04:50:00,101.8,99.37706
2017-06-01 04:55:00,103.2,99.39744
2017-06-01 05:00:00,97.5,99.382545
2017-06-01 05:05:00,96.4,99.31296
2017-06-01 05:10:00,96.4,99.30156
2017-06-01 05:15:00,95.0,99.33648
2017-06-01 05:20:00,96.5,99.447945
2017-06-01 05:25:00,99.4,99.61853
2017-06-01 05:30:00,99.8,99.82103
2017-06-01 05:35:00,99.6,100.08866
2017-06-01 05:40:00,99.4,100.32777
2017-06-01 05:45:00,101.2,100.51365
2017-06-01 05:50:00,107.0,100.6958
2017-06-01 05:55:00,102.8,100.79169
2017-06-01 06:00:00,104.0,100.76277
2017-06-01 06:05:00,101.6,100.64706
2017-06-01 06:10:00,99.8,100.38052
2017-06-01 06:15:00,101.4,99.92842
2017-06-01 06:20:00,105.4,99.26239
2017-06-01 06:25:00,101.2,98.361404
2017-06-01 06:30:00,97.6,97.051445
2017-06-01 06:35:00,96.6,95.506096
2017-06-01 06:40:00,94.6,93.76467
2017-06-01 06:45:00,92.2,91.87029
2017-06-01 06:50:00,87.8,91.69815
2017-06-01 06:55:00,100.6,91.53569
2017-06-01 07:00:00,88.2,91.27961
2017-06-01 07:05:00,89.8,91.08558
2017-06-01 07:10:00,88.8,90.97162
2017-06-01 07:15:00,87.5,90.848915
2017-06-01 07:20:00,87.5,90.6959
2017-06-01 07:25:00,84.6,90.489815
2017-06-01 07:30:00,85.2,90.45612
2017-06-01 07:35:00,86.8,90.48416
2017-06-01 07:40:00,91.2,90.470314
2017-06-01 07:45:00,90.2,90.44372
2017-06-01 07:50:00,84.6,90.387054
2017-06-01 07:55:00,92.0,90.37819
2017-06-01 08:00:00,87.0,90.418724
2017-06-01 08:05:00,88.6,90.432236
2017-06-01 08:10:00,89.8,90.48733
2017-06-01 08:15:00,93.25,90.52309
2017-06-01 08:20:00,91.8,90.55944
2017-06-01 08:25:00,93.2,90.66403
2017-06-01 08:30:00,101.0,90.76494
2017-06-01 08:35:00,103.6,90.80297
2017-06-01 08:40:00,90.5,90.79235
2017-06-01 08:45:00,92.2,90.766945
2017-06-01 08:50:00,92.0,90.75151
2017-06-01 08:55:00,94.0,90.783325
2017-06-01 09:00:00,91.0,90.8059
2017-06-01 09:05:00,93.4,90.82059
2017-06-01 09:10:00,94.2,90.828514
2017-06-01 09:15:00,93.25,90.76775
2017-06-01 09:20:00,88.25,90.66511
2017-06-01 09:25:00,89.0,90.45446
2017-06-01 09:30:00,88.0,90.11335
2017-06-01 09:35:00,88.0,89.71842
2017-06-01 09:40:00,93.25,89.27568
2017-06-01 09:45:00,98.2,88.874504
2017-06-01 09:50:00,95.4,88.58458
2017-06-01 09:55:00,94.4,88.359314
2017-06-01 10:00:00,95.6,88.220116
2017-06-01 10:05:00,98.0,88.2487
2017-06-01 10:10:00,94.6,88.348305
2017-06-01 10:15:00,93.4,88.47501
2017-06-01 10:20:00,89.8,88.48062
2017-06-01 10:25:00,86.6,88.37157
2017-06-01 10:30:00,89.8,88.083115
2017-06-01 10:35:00,88.2,87.56609
2017-06-01 10:40:00,93.6,86.8093
2017-06-01 10:45:00,92.8,85.67637
2017-06-01 10:50:00,88.0,85.49991
2017-06-01 10:55:00,88.2,85.29837
2017-06-01 11:00:00,87.6,84.92864
