Date,Real,Predictions
2017-06-01 00:00:00,94.8,93.775185
2017-06-01 00:05:00,93.6,94.18156
2017-06-01 00:10:00,91.2,94.531334
2017-06-01 00:15:00,92.2,94.93387
2017-06-01 00:20:00,89.6,95.28258
2017-06-01 00:25:00,93.5,95.50609
2017-06-01 00:30:00,87.4,95.626724
2017-06-01 00:35:00,85.8,95.56301
2017-06-01 00:40:00,89.4,95.28552
2017-06-01 00:45:00,93.0,94.81072
2017-06-01 00:50:00,94.75,94.832306
2017-06-01 00:55:00,91.8,94.86138
2017-06-01 01:00:00,91.8,94.935394
2017-06-01 01:05:00,94.39999999999999,95.0166
2017-06-01 01:10:00,95.75,95.127304
2017-06-01 01:15:00,97.8,95.40686
2017-06-01 01:20:00,99.0,95.81957
2017-06-01 01:25:00,94.39999999999999,96.34977
2017-06-01 01:30:00,96.0,96.981575
2017-06-01 01:35:00,95.6,97.723434
2017-06-01 01:40:00,96.0,98.39318
2017-06-01 01:45:00,100.8,98.99632
2017-06-01 01:50:00,100.60000000000001,99.51785
2017-06-01 01:55:00,93.6,100.06492
2017-06-01 02:00:00,96.8,100.594696
2017-06-01 02:05:00,97.0,101.01431
2017-06-01 02:10:00,99.4,101.317085
2017-06-01 02:15:00,97.4,101.61742
2017-06-01 02:20:00,99.0,101.66109
2017-06-01 02:25:00,102.0,101.74058
2017-06-01 02:30:00,104.4,101.68804
2017-06-01 02:35:00,106.79999999999998,101.59755
2017-06-01 02:40:00,100.8,101.53397
2017-06-01 02:45:00,103.6,101.347466
2017-06-01 02:50:00,104.0,101.37144
2017-06-01 02:55:00,106.6,101.36637
2017-06-01 03:00:00,106.6,101.536964
2017-06-01 03:05:00,106.4,101.62187
2017-06-01 03:10:00,112.80000000000001,101.507454
2017-06-01 03:15:00,108.0,101.513
2017-06-01 03:20:00,104.8,101.55162
2017-06-01 03:25:00,103.6,101.60408
2017-06-01 03:30:00,102.8,101.492455
2017-06-01 03:35:00,101.4,101.52897
2017-06-01 03:40:00,101.0,101.51664
2017-06-01 03:45:00,97.0,101.44501
2017-06-01 03:50:00,94.2,101.33177
2017-06-01 03:55:00,97.6,101.34185
2017-06-01 04:00:00,98.8,101.399185
2017-06-01 04:05:00,101.2,101.52595
2017-06-01 04:10:00,100.40000000000002,101.80598
2017-06-01 04:15:00,105.6,101.88891
2017-06-01 04:20:00,99.0,101.85892
2017-06-01 04:25:00,98.6,101.81972
2017-06-01 04:30:00,97.0,101.76886
2017-06-01 04:35:00,95.8,101.82316
2017-06-01 04:40:00,96.6,101.82663
2017-06-01 04:45:00,94.8,101.69118
2017-06-01 04:50:00,98.4,101.64197
2017-06-01 04:55:00,94.0,101.58384
2017-06-01 05:00:00,94.39999999999999,101.73333
2017-06-01 05:05:00,92.0,101.75492
2017-06-01 05:10:00,91.6,101.822716
2017-06-01 05:15:00,94.49999999999999,101.6833
