Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,33.119546070795714,45.081740776636565
Tue May  2 00:00:00 2017,27.490293129155972,20.182369170106295
Wed May  3 00:00:00 2017,19.853215058243332,29.785316387564862
Thu May  4 00:00:00 2017,21.287670437124532,31.89741322848594
Fri May  5 00:00:00 2017,18.24289245782038,15.268853570327833
Sat May  6 00:00:00 2017,24.312370922455177,27.347787963559316
Sun May  7 00:00:00 2017,35.3520072979494,33.813483165815896
Mon May  8 00:00:00 2017,37.080392785481834,61.11671964077588
Tue May  9 00:00:00 2017,19.881764944062027,30.013869848448426
Wed May 10 00:00:00 2017,19.76916453978668,29.368582139350256
Thu May 11 00:00:00 2017,20.66673303230361,24.840788363187233
Fri May 12 00:00:00 2017,21.790880598898397,18.494248851854184
Sat May 13 00:00:00 2017,38.813170762267475,23.31639480838497
Sun May 14 00:00:00 2017,37.85617451038779,46.915694511149944
Mon May 15 00:00:00 2017,21.609520863472742,28.5850008699789
Tue May 16 00:00:00 2017,27.09603748965251,51.428680377607066
Wed May 17 00:00:00 2017,15.912595270746477,23.729829864141884
Thu May 18 00:00:00 2017,34.77043338801119,71.41284126943721
Fri May 19 00:00:00 2017,34.23959684431631,55.87074296238953
Sat May 20 00:00:00 2017,24.352083065280436,33.431251181839094
Sun May 21 00:00:00 2017,29.504989194569937,44.11000194354504
Mon May 22 00:00:00 2017,19.457718784376095,11.959757428979817
Tue May 23 00:00:00 2017,20.84519409107151,27.41503115907299
Wed May 24 00:00:00 2017,18.30151090651795,37.76543888412544
Thu May 25 00:00:00 2017,22.111855540904635,29.682406798152645
Fri May 26 00:00:00 2017,27.17633069070242,39.231450253901784
Sat May 27 00:00:00 2017,31.058241632826828,60.270729062620575
Sun May 28 00:00:00 2017,24.44761178196404,50.16830136054628
Mon May 29 00:00:00 2017,30.196025033029393,30.81922777650307
Tue May 30 00:00:00 2017,26.421714783312964,32.255329564300496
Wed May 31 00:00:00 2017,32.77032121525151,37.26766296023648
