Date,Real,Predictions
2017-05-01 00:00:00,92.6,90.847374
2017-05-01 00:05:00,89.2,91.10517
2017-05-01 00:10:00,92.6,91.37597
2017-05-01 00:15:00,94.0,91.5875
2017-05-01 00:20:00,96.4,91.64604
2017-05-01 00:25:00,94.2,91.46628
2017-05-01 00:30:00,95.4,91.007324
2017-05-01 00:35:00,96.0,90.80382
2017-05-01 00:40:00,99.8,90.568245
2017-05-01 00:45:00,98.6,90.310745
2017-05-01 00:50:00,86.6,90.068924
2017-05-01 00:55:00,84.8,89.87165
2017-05-01 01:00:00,83.0,89.66658
2017-05-01 01:05:00,88.4,89.42616
2017-05-01 01:10:00,100.0,89.08034
2017-05-01 01:15:00,87.6,88.583755
2017-05-01 01:20:00,96.0,87.90999
2017-05-01 01:25:00,91.2,87.06515
2017-05-01 01:30:00,90.0,86.22288
2017-05-01 01:35:00,90.4,86.53777
2017-05-01 01:40:00,92.25,86.89563
2017-05-01 01:45:00,92.75,87.265526
2017-05-01 01:50:00,91.0,87.6475
2017-05-01 01:55:00,92.6,87.997185
2017-05-01 02:00:00,93.2,88.12833
2017-05-01 02:05:00,85.4,88.00731
2017-05-01 02:10:00,87.2,87.68588
2017-05-01 02:15:00,94.6,87.24225
2017-05-01 02:20:00,94.4,86.80849
2017-05-01 02:25:00,85.0,86.32344
2017-05-01 02:30:00,85.8,85.89525
2017-05-01 02:35:00,86.0,85.53197
2017-05-01 02:40:00,84.0,85.31375
2017-05-01 02:45:00,83.0,85.123085
2017-05-01 02:50:00,83.8,84.9804
2017-05-01 02:55:00,85.0,84.843094
2017-05-01 03:00:00,85.0,84.67863
2017-05-01 03:05:00,85.2,84.47997
2017-05-01 03:10:00,86.0,84.2489
2017-05-01 03:15:00,86.0,84.06852
2017-05-01 03:20:00,85.4,83.9728
2017-05-01 03:25:00,84.0,83.99997
2017-05-01 03:30:00,82.4,84.17545
2017-05-01 03:35:00,81.0,84.16397
2017-05-01 03:40:00,81.5,84.15124
2017-05-01 03:45:00,82.6,84.149666
2017-05-01 03:50:00,82.8,84.16654
2017-05-01 03:55:00,84.8,84.20286
2017-05-01 04:00:00,81.6,84.232315
2017-05-01 04:05:00,81.6,84.23005
2017-05-01 04:10:00,84.0,84.188416
2017-05-01 04:15:00,84.6,84.1346
2017-05-01 04:20:00,84.6,84.097916
2017-05-01 04:25:00,82.8,84.08891
2017-05-01 04:30:00,84.0,84.10624
2017-05-01 04:35:00,83.4,84.13207
2017-05-01 04:40:00,83.8,84.15661
2017-05-01 04:45:00,82.8,84.17859
2017-05-01 04:50:00,82.8,84.195435
2017-05-01 04:55:00,80.4,84.20973
2017-05-01 05:00:00,80.0,84.22107
2017-05-01 05:05:00,78.0,84.23126
2017-05-01 05:10:00,79.6,84.24424
2017-05-01 05:15:00,83.0,84.262924
2017-05-01 05:20:00,91.5,84.278175
2017-05-01 05:25:00,83.0,84.28863
2017-05-01 05:30:00,83.4,84.29903
2017-05-01 05:35:00,83.8,84.29512
2017-05-01 05:40:00,84.2,84.271774
2017-05-01 05:45:00,85.2,84.24492
2017-05-01 05:50:00,85.6,84.23584
2017-05-01 05:55:00,83.0,84.24434
2017-05-01 06:00:00,96.5,84.5305
2017-05-01 06:05:00,98.2,85.06811
2017-05-01 06:10:00,95.0,85.833496
2017-05-01 06:15:00,91.8,86.6707
2017-05-01 06:20:00,93.4,87.472496
2017-05-01 06:25:00,94.2,88.03836
2017-05-01 06:30:00,94.2,88.07037
2017-05-01 06:35:00,95.75,87.14568
2017-05-01 06:40:00,93.2,84.11048
2017-05-01 06:45:00,91.8,75.54786
2017-05-01 06:50:00,93.0,59.176235
2017-05-01 06:55:00,92.2,41.733276
2017-05-01 07:00:00,88.8,30.81726
2017-05-01 07:05:00,89.2,26.187447
2017-05-01 07:10:00,94.6,25.04651
2017-05-01 07:15:00,94.0,25.49227
2017-05-01 07:20:00,94.0,26.583715
2017-05-01 07:25:00,95.0,27.748993
2017-05-01 07:30:00,92.4,28.762173
2017-05-01 07:35:00,93.5,28.413342
2017-05-01 07:40:00,93.6,27.986002
2017-05-01 07:45:00,92.0,27.542233
2017-05-01 07:50:00,90.4,27.146252
2017-05-01 07:55:00,88.8,26.820173
2017-05-01 08:00:00,89.2,26.610645
2017-05-01 08:05:00,91.6,26.53622
2017-05-01 08:10:00,95.0,26.614353
2017-05-01 08:15:00,99.5,26.794527
2017-05-01 08:20:00,94.4,27.066513
2017-05-01 08:25:00,92.6,27.393469
2017-05-01 08:30:00,93.2,27.719051
2017-05-01 08:35:00,91.33333333333331,27.998001
2017-05-01 08:40:00,94.6,28.19321
2017-05-01 08:45:00,94.4,28.303331
2017-05-01 08:50:00,95.0,28.3341
2017-05-01 08:55:00,92.8,28.291464
2017-05-01 09:00:00,94.4,28.26331
2017-05-01 09:05:00,95.4,28.27517
2017-05-01 09:10:00,96.5,28.297659
2017-05-01 09:15:00,94.0,28.276337
2017-05-01 09:20:00,88.0,28.219557
2017-05-01 09:25:00,88.0,28.167791
2017-05-01 09:30:00,86.2,28.151695
2017-05-01 09:35:00,87.2,28.115562
2017-05-01 09:40:00,89.0,28.070484
2017-05-01 09:45:00,91.4,28.021593
2017-05-01 09:50:00,93.2,27.966114
2017-05-01 09:55:00,90.4,27.931679
2017-05-01 10:00:00,90.8,28.019766
2017-05-01 10:05:00,90.6,28.218967
2017-05-01 10:10:00,91.0,28.466911
2017-05-01 10:15:00,92.4,28.63766
2017-05-01 10:20:00,89.4,28.699518
2017-05-01 10:25:00,92.8,28.607887
2017-05-01 10:30:00,91.2,28.346338
2017-05-01 10:35:00,89.8,27.958496
2017-05-01 10:40:00,87.4,27.4903
2017-05-01 10:45:00,87.4,27.051846
2017-05-01 10:50:00,88.8,26.769781
2017-05-01 10:55:00,90.0,26.752056
2017-05-01 11:00:00,90.0,27.078999
2017-05-01 11:05:00,86.6,27.865723
2017-05-01 11:10:00,86.4,29.14033
