Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,46.55639062948096,40.53071623044922
Tue May  2 00:00:00 2017,22.077471978217247,36.228477836978854
Wed May  3 00:00:00 2017,20.130667956487713,33.5589940341131
Thu May  4 00:00:00 2017,23.273998901329392,36.66418341437506
Fri May  5 00:00:00 2017,28.20677338190871,44.12460444677833
Sat May  6 00:00:00 2017,31.06257999530026,64.07652028810782
Sun May  7 00:00:00 2017,24.513016982611084,34.46500477268023
Mon May  8 00:00:00 2017,28.483899709037548,32.88752819470811
Tue May  9 00:00:00 2017,37.61882330811229,92.03470251844996
Wed May 10 00:00:00 2017,22.413243482947447,43.42426676073526
Thu May 11 00:00:00 2017,22.48240767385195,38.90878291244195
Fri May 12 00:00:00 2017,35.06566119649042,72.26740810414792
Sat May 13 00:00:00 2017,17.74773907721157,34.74954861509123
Sun May 14 00:00:00 2017,41.30406418694725,29.979674314885514
Mon May 15 00:00:00 2017,51.631838172510854,104.84950586319067
Tue May 16 00:00:00 2017,22.771202722568795,40.64698146481224
Wed May 17 00:00:00 2017,34.813934348420936,70.24400914084471
Thu May 18 00:00:00 2017,53.73588866984706,169.2936888421108
Fri May 19 00:00:00 2017,55.238759480545816,77.87635889952062
Sat May 20 00:00:00 2017,29.939320445881286,36.39342648594695
Sun May 21 00:00:00 2017,30.044224543672332,28.572440982900634
Mon May 22 00:00:00 2017,25.774660236548467,39.357258089493286
Tue May 23 00:00:00 2017,26.31659696949645,46.359107156742354
Wed May 24 00:00:00 2017,22.93571259645404,46.549034766887914
Thu May 25 00:00:00 2017,22.148239324799466,46.02093143432285
Fri May 26 00:00:00 2017,85.31194237422815,33.52124532242894
Sat May 27 00:00:00 2017,37.10421086899082,46.815557232780165
Sun May 28 00:00:00 2017,39.536081422909554,75.79629964681797
Mon May 29 00:00:00 2017,21.28967408067034,39.13882798406334
Tue May 30 00:00:00 2017,28.500530844823082,64.49846764709096
Wed May 31 00:00:00 2017,23.73463867995165,37.743226503351906
