Date,Real,Predictions
2017-05-01 00:00:00,21.2,22.97782
2017-05-01 00:05:00,20.4,24.70235
2017-05-01 00:10:00,21.0,28.845156
2017-05-01 00:15:00,20.2,37.636826
2017-05-01 00:20:00,22.8,53.193768
2017-05-01 00:25:00,23.4,71.513756
2017-05-01 00:30:00,24.8,83.76032
2017-05-01 00:35:00,26.75,85.7186
2017-05-01 00:40:00,23.2,87.42778
2017-05-01 00:45:00,24.2,88.74661
2017-05-01 00:50:00,26.4,89.629135
2017-05-01 00:55:00,19.8,90.08232
2017-05-01 01:00:00,30.199999999999996,90.34766
2017-05-01 01:05:00,37.0,90.66788
2017-05-01 01:10:00,62.2,91.0852
2017-05-01 01:15:00,87.66666666666669,91.768295
2017-05-01 01:20:00,88.6,92.770004
2017-05-01 01:25:00,89.4,94.05185
2017-05-01 01:30:00,89.8,95.34463
2017-05-01 01:35:00,92.25,95.49796
2017-05-01 01:40:00,87.6,95.618935
2017-05-01 01:45:00,91.6,95.72872
2017-05-01 01:50:00,93.4,95.762054
2017-05-01 01:55:00,89.2,95.824394
2017-05-01 02:00:00,92.4,95.95546
2017-05-01 02:05:00,92.2,96.19678
2017-05-01 02:10:00,96.6,96.467834
2017-05-01 02:15:00,90.2,96.68181
2017-05-01 02:20:00,88.4,96.794235
2017-05-01 02:25:00,88.6,97.00878
2017-05-01 02:30:00,91.6,97.32281
2017-05-01 02:35:00,95.0,97.75071
2017-05-01 02:40:00,94.5,98.12695
2017-05-01 02:45:00,96.0,98.39692
2017-05-01 02:50:00,95.2,98.24306
2017-05-01 02:55:00,93.6,98.01212
2017-05-01 03:00:00,90.5,97.7471
2017-05-01 03:05:00,90.8,97.40245
2017-05-01 03:10:00,90.6,97.070656
2017-05-01 03:15:00,91.2,96.728325
2017-05-01 03:20:00,93.25,96.46546
2017-05-01 03:25:00,96.4,96.3154
2017-05-01 03:30:00,97.2,96.36928
2017-05-01 03:35:00,97.2,96.41956
2017-05-01 03:40:00,97.6,96.476105
2017-05-01 03:45:00,99.0,96.5115
2017-05-01 03:50:00,97.6,96.5022
2017-05-01 03:55:00,97.2,96.50683
2017-05-01 04:00:00,97.6,96.53064
2017-05-01 04:05:00,98.0,96.53742
2017-05-01 04:10:00,99.0,96.53001
2017-05-01 04:15:00,98.6,96.5348
2017-05-01 04:20:00,100.4,96.4763
2017-05-01 04:25:00,97.0,96.45666
2017-05-01 04:30:00,97.4,96.4983
2017-05-01 04:35:00,96.8,96.47504
2017-05-01 04:40:00,99.2,96.465675
2017-05-01 04:45:00,99.0,96.462425
2017-05-01 04:50:00,100.2,96.48011
2017-05-01 04:55:00,102.33333333333331,96.52196
2017-05-01 05:00:00,100.4,96.57307
2017-05-01 05:05:00,100.8,96.634224
2017-05-01 05:10:00,101.2,96.623634
2017-05-01 05:15:00,102.0,96.58062
2017-05-01 05:20:00,99.4,96.48916
2017-05-01 05:25:00,98.0,96.49715
2017-05-01 05:30:00,101.6,96.57534
2017-05-01 05:35:00,101.4,96.68003
2017-05-01 05:40:00,100.4,96.73166
2017-05-01 05:45:00,98.4,96.70167
