Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,21.797073746605193,29.30927436114176
Tue May  2 00:00:00 2017,14.343194082187742,11.860272394731105
Wed May  3 00:00:00 2017,14.81303791408866,14.209638706002728
Thu May  4 00:00:00 2017,13.318872432848746,12.4406663174261
Fri May  5 00:00:00 2017,15.90682078697675,16.308623515922957
Sat May  6 00:00:00 2017,21.567925307393953,20.037437714768412
Sun May  7 00:00:00 2017,21.987789882241703,21.73817133855873
Mon May  8 00:00:00 2017,16.514996205396987,19.206393661362075
Tue May  9 00:00:00 2017,20.22923715685724,15.808580874802487
Wed May 10 00:00:00 2017,21.062988018858743,16.309601806108713
Thu May 11 00:00:00 2017,14.806561033770606,12.104991711565363
Fri May 12 00:00:00 2017,16.51485459682718,10.964746058345595
Sat May 13 00:00:00 2017,16.445522954349762,14.095300098525376
Sun May 14 00:00:00 2017,24.274521538851573,18.577584924665334
Mon May 15 00:00:00 2017,17.859867136942785,13.929786481507325
Tue May 16 00:00:00 2017,20.47605758838462,10.874005175687854
Wed May 17 00:00:00 2017,21.46190316460816,20.724890976109876
Thu May 18 00:00:00 2017,12.012359134090726,10.268002737158374
Fri May 19 00:00:00 2017,22.918887952772174,25.170692369076697
Sat May 20 00:00:00 2017,17.66374761323175,21.342802080165185
Sun May 21 00:00:00 2017,25.389339973390847,23.448271119754214
Mon May 22 00:00:00 2017,20.16999862382216,23.899268884185556
Tue May 23 00:00:00 2017,14.285427987564532,17.918376496283745
Wed May 24 00:00:00 2017,14.31182625866197,12.205710529984426
Thu May 25 00:00:00 2017,13.613197711398437,10.967488783692131
Fri May 26 00:00:00 2017,28.358451505940405,28.088775492536154
Sat May 27 00:00:00 2017,21.905263050489534,28.105347717354917
Sun May 28 00:00:00 2017,28.439452763790143,24.67900808749789
Mon May 29 00:00:00 2017,20.44404640603419,17.703402720670006
Tue May 30 00:00:00 2017,23.66962641673817,51.906069928577345
Wed May 31 00:00:00 2017,14.523742073100234,17.82136919520187
