Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,28.003997171643544,33.316117282828564
Tue May  2 00:00:00 2017,36.17482656285199,18.064939779253688
Wed May  3 00:00:00 2017,21.084699312648056,33.30624713741883
Thu May  4 00:00:00 2017,27.85366944994967,26.933299236436703
Fri May  5 00:00:00 2017,26.39592465558549,48.3886919002951
Sat May  6 00:00:00 2017,30.559204909478865,51.32027237019195
Sun May  7 00:00:00 2017,18.39108447561948,15.911752555447972
Mon May  8 00:00:00 2017,53.406669043544724,103.72949726903163
Tue May  9 00:00:00 2017,36.743957572983724,31.181898959259073
Wed May 10 00:00:00 2017,18.012404515308436,20.89725901438297
Thu May 11 00:00:00 2017,35.64200368743922,91.47053954971767
Fri May 12 00:00:00 2017,21.0213609706564,30.806856568024752
Sat May 13 00:00:00 2017,23.360665834921427,42.555740791638804
Sun May 14 00:00:00 2017,48.83476731179619,98.44280983055938
Mon May 15 00:00:00 2017,28.00914218608997,36.04924816837874
Tue May 16 00:00:00 2017,23.290841112606472,16.31368822307755
Wed May 17 00:00:00 2017,20.85134757327766,47.58254668505
Thu May 18 00:00:00 2017,43.650896316955496,104.27983816486551
Fri May 19 00:00:00 2017,32.546175481228204,58.17170048207723
Sat May 20 00:00:00 2017,29.268994953105093,45.03562491545435
Sun May 21 00:00:00 2017,8.529918710239944,9.029546465333262
Mon May 22 00:00:00 2017,17.977883322587118,21.84777572926385
Tue May 23 00:00:00 2017,19.45049860585702,22.788539102255427
Wed May 24 00:00:00 2017,20.815092639094352,31.311621372213477
Thu May 25 00:00:00 2017,49.13451418334624,92.44761868259314
Fri May 26 00:00:00 2017,70.2260432995649,77.81873858199647
Sat May 27 00:00:00 2017,29.054863445331634,47.94275996098687
Sun May 28 00:00:00 2017,14.101650697110735,21.11218829974231
Mon May 29 00:00:00 2017,24.619946076198758,39.053598575904964
Tue May 30 00:00:00 2017,35.9580054694351,30.49619448935094
Wed May 31 00:00:00 2017,26.086292821274,30.531090444344628
