Date,Daily Error,Rush Hour Error
Mon May  1 00:00:00 2017,32.6013971478594,54.68897886411952
Tue May  2 00:00:00 2017,27.589683992355656,42.964045877814826
Wed May  3 00:00:00 2017,39.88525495035463,19.09641266677366
Thu May  4 00:00:00 2017,25.492019575600757,31.666379324515518
Fri May  5 00:00:00 2017,20.23337350614287,20.42066326065507
Sat May  6 00:00:00 2017,23.56058564979538,36.66560243254161
Sun May  7 00:00:00 2017,42.18619917831901,34.945753572523934
Mon May  8 00:00:00 2017,32.89530482384171,34.292939275009154
Tue May  9 00:00:00 2017,17.38089689149164,28.353450272354586
Wed May 10 00:00:00 2017,34.024633789353324,35.861835436774776
Thu May 11 00:00:00 2017,14.03705323938726,20.43107412959906
Fri May 12 00:00:00 2017,30.144164595952443,27.326652409223232
Sat May 13 00:00:00 2017,22.165941223524605,25.782337803836505
Sun May 14 00:00:00 2017,62.556266560431354,56.206052393664784
Mon May 15 00:00:00 2017,23.55104977853385,31.937933714809567
Tue May 16 00:00:00 2017,15.211965704035748,27.57247885546046
Wed May 17 00:00:00 2017,22.607623284714887,40.26077217504234
Thu May 18 00:00:00 2017,26.29612118242733,19.194422048333692
Fri May 19 00:00:00 2017,27.076240459009426,54.80987197347994
Sat May 20 00:00:00 2017,23.373194841793197,31.804582148796484
Sun May 21 00:00:00 2017,24.009779658346062,28.392216290257558
Mon May 22 00:00:00 2017,19.04030722702479,38.66488851145428
Tue May 23 00:00:00 2017,15.043942918091656,33.93644922820243
Wed May 24 00:00:00 2017,12.689116746037213,18.729633433615874
Thu May 25 00:00:00 2017,17.30425329019889,26.54138802137294
Fri May 26 00:00:00 2017,22.18608549100322,28.391313092918175
Sat May 27 00:00:00 2017,25.152990235432377,50.032665778830776
Sun May 28 00:00:00 2017,33.23080441650945,22.947633388177728
Mon May 29 00:00:00 2017,25.503652036175353,32.12595776719767
Tue May 30 00:00:00 2017,18.67706017618952,29.202746081059768
Wed May 31 00:00:00 2017,13.458178077746473,32.059838293314336
