Date,Real,Predictions
2017-05-01 00:00:00,92.6,91.176674
2017-05-01 00:05:00,90.4,91.592834
2017-05-01 00:10:00,90.33333333333331,92.472984
2017-05-01 00:15:00,93.6,93.12199
2017-05-01 00:20:00,94.0,93.47798
2017-05-01 00:25:00,95.0,93.799446
2017-05-01 00:30:00,97.4,93.82772
2017-05-01 00:35:00,97.0,93.78565
2017-05-01 00:40:00,100.0,93.84537
2017-05-01 00:45:00,99.4,93.970245
2017-05-01 00:50:00,89.0,94.2014
2017-05-01 00:55:00,86.8,94.57564
2017-05-01 01:00:00,95.2,94.30728
2017-05-01 01:05:00,92.4,94.05771
2017-05-01 01:10:00,102.8,94.0839
2017-05-01 01:15:00,95.2,93.910965
2017-05-01 01:20:00,100.6,94.25063
2017-05-01 01:25:00,94.6,94.16973
2017-05-01 01:30:00,93.5,93.98511
2017-05-01 01:35:00,95.6,93.67505
2017-05-01 01:40:00,99.2,93.21866
2017-05-01 01:45:00,99.5,93.30197
2017-05-01 01:50:00,95.2,93.58333
2017-05-01 01:55:00,96.8,94.09966
2017-05-01 02:00:00,97.4,94.12689
2017-05-01 02:05:00,91.4,94.24309
2017-05-01 02:10:00,94.0,94.03919
2017-05-01 02:15:00,99.4,93.36506
2017-05-01 02:20:00,97.6,92.97384
2017-05-01 02:25:00,94.0,92.86943
2017-05-01 02:30:00,94.8,92.87226
2017-05-01 02:35:00,94.4,92.739746
2017-05-01 02:40:00,92.4,92.848366
2017-05-01 02:45:00,92.6,92.59948
2017-05-01 02:50:00,92.2,92.52721
2017-05-01 02:55:00,92.33333333333331,92.301796
2017-05-01 03:00:00,92.6,92.32162
2017-05-01 03:05:00,95.6,92.31884
2017-05-01 03:10:00,96.4,92.45349
2017-05-01 03:15:00,93.25,92.72328
2017-05-01 03:20:00,93.6,92.98878
2017-05-01 03:25:00,93.6,93.099
2017-05-01 03:30:00,93.0,93.18527
2017-05-01 03:35:00,90.0,93.28297
2017-05-01 03:40:00,92.0,93.27101
2017-05-01 03:45:00,91.6,93.12922
2017-05-01 03:50:00,91.8,93.12148
2017-05-01 03:55:00,94.4,93.07277
2017-05-01 04:00:00,93.25,92.89618
2017-05-01 04:05:00,96.0,92.8605
2017-05-01 04:10:00,91.0,92.81283
2017-05-01 04:15:00,94.6,92.83865
2017-05-01 04:20:00,93.4,92.74118
2017-05-01 04:25:00,92.4,92.79161
2017-05-01 04:30:00,95.6,92.87123
2017-05-01 04:35:00,92.8,92.87827
2017-05-01 04:40:00,95.2,93.0468
2017-05-01 04:45:00,94.6,93.07424
2017-05-01 04:50:00,95.0,93.1564
2017-05-01 04:55:00,93.6,93.142204
2017-05-01 05:00:00,94.8,93.202545
2017-05-01 05:05:00,91.6,93.18239
2017-05-01 05:10:00,92.4,93.19675
2017-05-01 05:15:00,94.0,93.172134
2017-05-01 05:20:00,92.8,93.14066
2017-05-01 05:25:00,93.0,93.23724
2017-05-01 05:30:00,94.6,93.1632
2017-05-01 05:35:00,93.6,93.20373
2017-05-01 05:40:00,93.2,93.16763
2017-05-01 05:45:00,97.0,93.16866
2017-05-01 05:50:00,96.2,93.09353
2017-05-01 05:55:00,94.0,93.22633
2017-05-01 06:00:00,101.8,93.31116
2017-05-01 06:05:00,103.6,93.32041
2017-05-01 06:10:00,100.0,93.78902
