Date,Real,Predictions
2017-05-01 00:00:00,92.6,91.99648
2017-05-01 00:05:00,90.4,92.09928
2017-05-01 00:10:00,90.33333333333331,92.20708
2017-05-01 00:15:00,93.6,92.29623
2017-05-01 00:20:00,94.0,92.34851
2017-05-01 00:25:00,95.0,92.41641
2017-05-01 00:30:00,97.4,92.49855
2017-05-01 00:35:00,97.0,92.55137
2017-05-01 00:40:00,100.0,92.55641
2017-05-01 00:45:00,99.4,92.538506
2017-05-01 00:50:00,89.0,92.510315
2017-05-01 00:55:00,86.8,92.49048
2017-05-01 01:00:00,95.2,92.48641
2017-05-01 01:05:00,92.4,92.4869
2017-05-01 01:10:00,102.8,92.484566
2017-05-01 01:15:00,95.2,92.47814
2017-05-01 01:20:00,100.6,92.47424
2017-05-01 01:25:00,94.6,92.47558
2017-05-01 01:30:00,93.5,92.49744
2017-05-01 01:35:00,95.6,92.52383
2017-05-01 01:40:00,99.2,92.57321
2017-05-01 01:45:00,99.5,92.64725
2017-05-01 01:50:00,95.2,92.74154
2017-05-01 01:55:00,96.8,92.84095
2017-05-01 02:00:00,97.4,92.921715
2017-05-01 02:05:00,91.4,93.00188
2017-05-01 02:10:00,94.0,93.06578
2017-05-01 02:15:00,99.4,93.09691
2017-05-01 02:20:00,97.6,93.082726
2017-05-01 02:25:00,94.0,92.99259
2017-05-01 02:30:00,94.8,92.92732
2017-05-01 02:35:00,94.4,92.87935
2017-05-01 02:40:00,92.4,92.86996
2017-05-01 02:45:00,92.6,92.886284
2017-05-01 02:50:00,92.2,92.88919
2017-05-01 02:55:00,92.33333333333331,92.896324
2017-05-01 03:00:00,92.6,92.83525
2017-05-01 03:05:00,95.6,92.74176
2017-05-01 03:10:00,96.4,92.64552
2017-05-01 03:15:00,93.25,92.58018
2017-05-01 03:20:00,93.6,92.52956
2017-05-01 03:25:00,93.6,92.536026
2017-05-01 03:30:00,93.0,92.560356
2017-05-01 03:35:00,90.0,92.53971
2017-05-01 03:40:00,92.0,92.50948
2017-05-01 03:45:00,91.6,92.388855
