zaman_farki_(dakika),yer,kisa_tahmin_mape,haftalik_tahmin_mape,haftalik_veriyle_kisa_tahmin_mape
10,fsm,7.92,18.89,8.87
10,sisli,40.68,31.5,11.59
10,bogazici,10.91,23,12.05
10,atasehir,12.09,25.19,13.24
10,avcilar,16.47,31.7,17.38
10,kucukcekmece,11.94,23.17,12.13
10,maltepe,10.62,28.76,13.35
10,sultanbeyli,5.94,8.52,5.98
10,umraniye,10.68,25.19,10.89
30,fsm,13.26,18.89,12.63
30,sisli,18.9,31.5,20.51
30,bogazici,18.34,23,18.06
30,atasehir,17.71,25.19,19.23
30,avcilar,23.14,31.7,24.15
30,kucukcekmece,16.13,23.17,17.81
30,maltepe,18.54,28.76,20.03
30,sultanbeyli,6.95,8.52,6.95
30,umraniye,17.55,25.19,19.23
60,fsm,18.24,18.89,17.04
60,sisli,26.34,31.5,24.4
60,bogazici,24.42,23,20.23
60,atasehir,22.7,25.19,22.97
60,avcilar,28.77,31.7,29.61
60,kucukcekmece,20.28,23.17,20.73
60,maltepe,23.56,28.76,24.88
60,sultanbeyli,8.08,8.52,7.94
60,umraniye,22.67,25.19,21.64
120,fsm,20.62,18.89,19.75
120,sisli,30.48,31.5,29.56
120,bogazici,26.17,23,22.54
120,atasehir,26.46,25.19,24.76
120,avcilar,31.04,31.7,31.39
120,kucukcekmece,22.82,23.17,22.19
120,maltepe,25.93,28.76,27.56
120,sultanbeyli,9.34,8.52,8.72
120,umraniye,26.57,25.19,24.08
240,fsm,22.76,18.89,18.41
240,sisli,33.89,31.5,30.44
240,bogazici,38.14,23,23.21
240,atasehir,27.49,25.19,25.4
240,avcilar,30.61,31.7,32.28
240,kucukcekmece,23.01,23.17,22.37
240,maltepe,25.82,28.76,25.6
240,sultanbeyli,8.76,8.52,8.23
240,umraniye,25.97,25.19,24.93
480,fsm,22.37,18.89,18.34
480,sisli,33.36,31.5,30.19
480,bogazici,35.6,23,23.11
480,atasehir,27.66,25.19,25.26
480,avcilar,35.25,31.7,34.47
480,kucukcekmece,24.03,23.17,23.15
480,maltepe,25.02,28.76,25.73
480,sultanbeyli,9.49,8.52,8.54
480,umraniye,28.67,25.19,24.42
720,fsm,22.4,18.89,18.85
720,sisli,35.2,31.5,30.98
720,bogazici,34.56,23,23.26
720,atasehir,27.33,25.19,24.7
720,avcilar,30.45,31.7,31.05
720,kucukcekmece,22.86,23.17,23.28
720,maltepe,25.41,28.76,27.03
720,sultanbeyli,8.69,8.52,8.01
720,umraniye,27.8,25.19,24.02
1440,fsm,20.05,18.89,17.55
1440,sisli,30.59,31.5,31.28
1440,bogazici,28.67,23,25.16
1440,atasehir,26.66,25.19,24.71
1440,avcilar,31.06,31.7,29.52
1440,kucukcekmece,22.15,23.17,22.25
1440,maltepe,24.28,28.76,25.13
1440,sultanbeyli,8.88,8.52,8.74
1440,umraniye,26.52,25.19,24.18
2160,fsm,21.66,18.89,18.43
2160,sisli,34.27,31.5,31.98
2160,bogazici,38.7,23,23.59
2160,atasehir,27.86,25.19,24.91
2160,avcilar,32.08,31.7,31.75
2160,kucukcekmece,23.01,23.17,23.23
2160,maltepe,23.59,28.76,25.54
2160,sultanbeyli,8.76,8.52,8.23
2160,umraniye,27.99,25.19,24.01
2880,fsm,22.54,18.89,17.87
2880,sisli,38.08,31.5,34.37
2880,bogazici,30.81,23,25.31
2880,atasehir,27.21,25.19,25.86
2880,avcilar,32.22,31.7,29.37
2880,kucukcekmece,22.15,23.17,23.13
2880,maltepe,24.89,28.76,25.89
2880,sultanbeyli,9.18,8.52,8.67
2880,umraniye,26.97,25.19,24.32
4320,fsm,21.72,18.89,18.33
4320,sisli,37.76,31.5,35.2
4320,bogazici,31.04,23,24.94
4320,atasehir,26.52,25.19,25.87
4320,avcilar,31.68,31.7,29.87
4320,kucukcekmece,22.42,23.17,22.9
4320,maltepe,25.08,28.76,26.77
4320,sultanbeyli,9.49,8.52,8.66
4320,umraniye,27.09,25.19,23.74
