Date,Real,Predictions
2017-01-10 00:25:00,87.0,89.012825
2017-01-10 01:10:00,73.0,90.90382
2017-01-10 01:25:00,92.0,88.95885
2017-01-10 01:30:00,92.0,87.35196
2017-01-10 01:50:00,93.0,83.66805
2017-01-10 01:55:00,93.0,83.75428
2017-01-10 03:25:00,91.0,83.07003
2017-01-10 04:35:00,53.0,80.99362
2017-01-10 04:40:00,53.0,82.00512
2017-01-10 05:35:00,92.0,79.63648
2017-01-10 05:40:00,92.0,81.01737
2017-01-10 05:45:00,56.0,83.971146
2017-01-10 06:35:00,91.0,90.2976
2017-01-10 06:40:00,88.6,90.94754
2017-01-10 06:45:00,87.0,90.62492
2017-01-10 06:50:00,90.0,89.797005
2017-01-10 06:55:00,87.0,87.866135
2017-01-10 07:00:00,80.4,84.95697
2017-01-10 07:05:00,80.8,82.29035
2017-01-10 07:10:00,86.0,81.37983
2017-01-10 07:15:00,83.5,82.91332
2017-01-10 07:20:00,76.5,85.28289
2017-01-10 07:25:00,76.0,87.057465
2017-01-10 07:30:00,72.8,87.62837
2017-01-10 07:35:00,74.0,87.27267
2017-01-10 07:40:00,77.4,86.30637
2017-01-10 07:45:00,76.8,84.343094
2017-01-10 07:50:00,77.8,82.161194
2017-01-10 07:55:00,81.8,81.31797
2017-01-10 08:00:00,89.2,82.48999
2017-01-10 08:05:00,87.6,84.34037
2017-01-10 08:10:00,77.4,85.179016
2017-01-10 08:15:00,76.75,84.71263
2017-01-10 08:20:00,79.2,82.45075
2017-01-10 08:25:00,80.6,76.7304
2017-01-10 08:30:00,71.6,62.206856
2017-01-10 08:35:00,87.0,44.912262
2017-01-10 08:40:00,71.4,34.837864
2017-01-10 08:45:00,83.4,31.927855
2017-01-10 08:50:00,79.8,31.230307
2017-01-10 08:55:00,82.8,30.072838
2017-01-10 09:00:00,86.6,27.918442
2017-01-10 09:05:00,95.75,26.017899
2017-01-10 09:10:00,90.2,25.267183
2017-01-10 09:15:00,81.8,25.364489
2017-01-10 09:20:00,97.33333333333331,25.404194
2017-01-10 09:25:00,93.4,25.401443
2017-01-10 09:30:00,94.0,25.502312
2017-01-10 09:35:00,88.4,25.518532
2017-01-10 09:40:00,87.6,25.379978
2017-01-10 09:45:00,97.25,25.397167
2017-01-10 09:50:00,95.2,25.397831
2017-01-10 09:55:00,95.2,25.382183
2017-01-10 10:00:00,97.8,25.343277
2017-01-10 10:05:00,99.8,25.468504
2017-01-10 10:10:00,95.75,25.83623
2017-01-10 10:15:00,95.0,26.386255
2017-01-10 10:20:00,94.4,27.0335
2017-01-10 10:25:00,94.0,27.855679
2017-01-10 10:30:00,93.0,28.663342
2017-01-10 10:35:00,94.25,29.183743
2017-01-10 10:40:00,97.6,29.245674
2017-01-10 10:45:00,100.75,29.250599
2017-01-10 10:50:00,101.66666666666669,29.77162
2017-01-10 10:55:00,97.0,30.968508
2017-01-10 11:00:00,91.0,32.544285
2017-01-10 11:05:00,91.0,34.419262
2017-01-10 11:10:00,87.6,36.706448
2017-01-10 11:15:00,91.0,39.678013
2017-01-10 11:20:00,94.8,43.810234
2017-01-10 11:25:00,97.2,49.723347
2017-01-10 11:30:00,92.0,58.33746
2017-01-10 11:35:00,92.2,69.30804
2017-01-10 11:40:00,95.6,79.92142
2017-01-10 11:45:00,99.0,87.801125
2017-01-10 11:50:00,97.0,90.89714
2017-01-10 11:55:00,104.0,89.10972
2017-01-10 12:00:00,105.8,86.492195
2017-01-10 12:05:00,109.0,85.9278
2017-01-10 12:10:00,100.6,86.36037
2017-01-10 12:15:00,98.2,87.9207
2017-01-10 12:20:00,93.0,89.11666
2017-01-10 12:25:00,97.0,90.47536
2017-01-10 12:30:00,98.0,90.98292
2017-01-10 12:35:00,98.0,90.73213
2017-01-10 12:40:00,99.2,90.37792
2017-01-10 12:45:00,93.0,90.1563
2017-01-10 12:50:00,92.4,89.97653
2017-01-10 12:55:00,89.5,89.71835
2017-01-10 13:00:00,83.0,89.33086
2017-01-10 13:05:00,75.2,89.264366
2017-01-10 13:10:00,71.6,89.64262
2017-01-10 13:15:00,66.8,90.18969
2017-01-10 13:20:00,66.0,90.78989
2017-01-10 13:25:00,64.5,91.26323
2017-01-10 13:30:00,64.0,91.27724
2017-01-10 13:35:00,68.8,91.038086
2017-01-10 13:40:00,73.75,90.80736
2017-01-10 13:45:00,74.0,90.51416
2017-01-10 13:50:00,75.0,90.23499
2017-01-10 13:55:00,78.0,89.88031
2017-01-10 14:00:00,78.0,89.586914
2017-01-10 14:05:00,78.0,89.28529
2017-01-10 14:10:00,78.0,88.99762
2017-01-10 14:15:00,79.6,89.00532
2017-01-10 14:20:00,90.2,89.024826
2017-01-10 14:25:00,77.5,88.80099
2017-01-10 14:30:00,76.0,88.270546
2017-01-10 14:35:00,82.2,87.53148
2017-01-10 14:40:00,80.4,86.97354
2017-01-10 14:45:00,80.0,86.78693
2017-01-10 14:50:00,82.33333333333333,86.81716
2017-01-10 14:55:00,82.0,87.1628
2017-01-10 15:00:00,81.0,87.64515
2017-01-10 15:05:00,86.8,87.791565
2017-01-10 15:10:00,97.8,87.54957
2017-01-10 15:15:00,92.4,87.6086
2017-01-10 15:20:00,88.6,87.87118
2017-01-10 15:25:00,88.2,88.163704
2017-01-10 15:30:00,95.6,88.11482
2017-01-10 15:35:00,93.8,87.69353
2017-01-10 15:40:00,94.8,86.98743
2017-01-10 15:45:00,89.4,86.33478
2017-01-10 15:50:00,89.2,85.91011
2017-01-10 15:55:00,89.8,85.87607
2017-01-10 16:00:00,92.0,86.23718
2017-01-10 16:05:00,92.33333333333331,86.331505
2017-01-10 16:10:00,93.4,86.03896
2017-01-10 16:15:00,95.0,85.61879
2017-01-10 16:20:00,96.25,85.26628
2017-01-10 16:25:00,94.4,85.20676
2017-01-10 16:30:00,94.0,85.715675
2017-01-10 16:35:00,94.5,86.72818
2017-01-10 16:40:00,90.0,87.48883
2017-01-10 16:45:00,93.6,87.720184
2017-01-10 16:50:00,97.6,87.68833
2017-01-10 16:55:00,95.0,87.463066
2017-01-10 17:00:00,89.6,87.15045
2017-01-10 17:05:00,86.6,86.6173
2017-01-10 17:10:00,89.0,85.60034
2017-01-10 17:15:00,92.2,82.623665
2017-01-10 17:20:00,95.4,76.31477
2017-01-10 17:25:00,91.2,65.977295
2017-01-10 17:30:00,91.0,59.19442
2017-01-10 17:35:00,99.2,58.141514
2017-01-10 17:40:00,97.0,59.6296
2017-01-10 17:45:00,91.0,59.97424
2017-01-10 17:50:00,91.0,55.98593
2017-01-10 17:55:00,91.4,50.683887
2017-01-10 18:00:00,92.4,45.828205
2017-01-10 18:05:00,89.0,41.341175
2017-01-10 18:10:00,94.4,35.338314
2017-01-10 18:15:00,88.0,29.679052
2017-01-10 18:20:00,92.0,25.838797
2017-01-10 18:25:00,94.0,24.774595
2017-01-10 18:30:00,94.0,25.181768
2017-01-10 18:35:00,91.0,25.72348
