Date,Real,Predictions
2017-06-01 00:00:00,84.75,25.848656
2017-06-01 00:05:00,84.2,26.339458
2017-06-01 00:10:00,85.8,26.741108
2017-06-01 00:15:00,84.8,27.304468
2017-06-01 00:20:00,86.8,27.78313
2017-06-01 00:25:00,85.0,28.0712
2017-06-01 00:30:00,84.8,28.151232
2017-06-01 00:35:00,82.8,27.982756
2017-06-01 00:40:00,88.6,29.277712
2017-06-01 00:45:00,88.2,35.937565
2017-06-01 00:50:00,95.8,43.962772
2017-06-01 00:55:00,86.4,55.230797
2017-06-01 01:00:00,92.25,68.66263
2017-06-01 01:05:00,93.0,81.222115
2017-06-01 01:10:00,91.25,88.747055
2017-06-01 01:15:00,94.4,91.69674
2017-06-01 01:20:00,95.6,92.52806
2017-06-01 01:25:00,96.0,93.09896
2017-06-01 01:30:00,96.4,93.45301
2017-06-01 01:35:00,96.66666666666669,93.65977
2017-06-01 01:40:00,95.66666666666669,93.9373
2017-06-01 01:45:00,97.6,94.22082
2017-06-01 01:50:00,100.4,94.48889
2017-06-01 01:55:00,96.0,94.71504
2017-06-01 02:00:00,98.8,94.83504
2017-06-01 02:05:00,96.6,95.01858
2017-06-01 02:10:00,101.8,95.20876
2017-06-01 02:15:00,102.2,95.57479
2017-06-01 02:20:00,101.5,95.9523
2017-06-01 02:25:00,101.4,96.406296
2017-06-01 02:30:00,103.4,96.99794
2017-06-01 02:35:00,103.6,97.74688
2017-06-01 02:40:00,100.0,98.54328
2017-06-01 02:45:00,100.4,99.42083
2017-06-01 02:50:00,100.2,99.5249
2017-06-01 02:55:00,104.75,99.63789
2017-06-01 03:00:00,100.25,99.74427
2017-06-01 03:05:00,99.0,99.815544
2017-06-01 03:10:00,100.8,99.84015
2017-06-01 03:15:00,100.6,99.85357
2017-06-01 03:20:00,101.2,99.844795
2017-06-01 03:25:00,99.2,99.84075
2017-06-01 03:30:00,99.0,99.80191
2017-06-01 03:35:00,97.8,99.78203
2017-06-01 03:40:00,97.4,99.732994
2017-06-01 03:45:00,97.6,99.67572
2017-06-01 03:50:00,98.4,99.59274
2017-06-01 03:55:00,99.8,99.51897
2017-06-01 04:00:00,100.2,99.4884
2017-06-01 04:05:00,100.8,99.459656
2017-06-01 04:10:00,102.0,99.45824
2017-06-01 04:15:00,100.5,99.454735
2017-06-01 04:20:00,94.6,99.44338
2017-06-01 04:25:00,94.0,99.41654
2017-06-01 04:30:00,94.4,99.336624
2017-06-01 04:35:00,95.0,99.341835
2017-06-01 04:40:00,101.0,99.363655
2017-06-01 04:45:00,100.6,99.38499
2017-06-01 04:50:00,101.8,99.40904
2017-06-01 04:55:00,103.2,99.477066
2017-06-01 05:00:00,97.5,99.5378
2017-06-01 05:05:00,96.4,99.57545
2017-06-01 05:10:00,96.4,99.54359
2017-06-01 05:15:00,95.0,99.54871
2017-06-01 05:20:00,96.5,99.638664
2017-06-01 05:25:00,99.4,99.740974
2017-06-01 05:30:00,99.8,99.82578
2017-06-01 05:35:00,99.6,99.91975
2017-06-01 05:40:00,99.4,99.98049
2017-06-01 05:45:00,101.2,99.954216
2017-06-01 05:50:00,107.0,100.03904
2017-06-01 05:55:00,102.8,100.07118
2017-06-01 06:00:00,104.0,99.97468
2017-06-01 06:05:00,101.6,99.76301
2017-06-01 06:10:00,99.8,99.41253
2017-06-01 06:15:00,101.4,98.822975
2017-06-01 06:20:00,105.4,97.96051
2017-06-01 06:25:00,101.2,96.853714
2017-06-01 06:30:00,97.6,95.37874
2017-06-01 06:35:00,96.6,93.67985
2017-06-01 06:40:00,94.6,91.79457
2017-06-01 06:45:00,92.2,89.892654
2017-06-01 06:50:00,87.8,89.71294
2017-06-01 06:55:00,100.6,89.57766
2017-06-01 07:00:00,88.2,89.417564
2017-06-01 07:05:00,89.8,89.29129
2017-06-01 07:10:00,88.8,89.26138
2017-06-01 07:15:00,87.5,89.23387
2017-06-01 07:20:00,87.5,89.16938
2017-06-01 07:25:00,84.6,89.111725
2017-06-01 07:30:00,85.2,89.12331
2017-06-01 07:35:00,86.8,89.1807
2017-06-01 07:40:00,91.2,89.19865
2017-06-01 07:45:00,90.2,89.19734
2017-06-01 07:50:00,84.6,89.14391
2017-06-01 07:55:00,92.0,89.11383
2017-06-01 08:00:00,87.0,89.149025
2017-06-01 08:05:00,88.6,89.17627
2017-06-01 08:10:00,89.8,89.2149
2017-06-01 08:15:00,93.25,89.263916
2017-06-01 08:20:00,91.8,89.27855
2017-06-01 08:25:00,93.2,89.36831
2017-06-01 08:30:00,101.0,89.44056
2017-06-01 08:35:00,103.6,89.46753
2017-06-01 08:40:00,90.5,89.462975
2017-06-01 08:45:00,92.2,89.40166
2017-06-01 08:50:00,92.0,89.36282
2017-06-01 08:55:00,94.0,89.36081
2017-06-01 09:00:00,91.0,89.314705
2017-06-01 09:05:00,93.4,89.29
2017-06-01 09:10:00,94.2,89.2769
2017-06-01 09:15:00,93.25,89.18707
2017-06-01 09:20:00,88.25,89.01057
2017-06-01 09:25:00,89.0,88.766106
2017-06-01 09:30:00,88.0,88.41422
2017-06-01 09:35:00,88.0,88.05072
2017-06-01 09:40:00,93.25,87.68923
2017-06-01 09:45:00,98.2,87.40938
2017-06-01 09:50:00,95.4,87.2729
2017-06-01 09:55:00,94.4,87.27833
2017-06-01 10:00:00,95.6,87.29731
2017-06-01 10:05:00,98.0,87.41534
2017-06-01 10:10:00,94.6,87.41637
2017-06-01 10:15:00,93.4,87.41328
2017-06-01 10:20:00,89.8,87.39281
2017-06-01 10:25:00,86.6,87.29656
2017-06-01 10:30:00,89.8,87.15041
2017-06-01 10:35:00,88.2,86.86881
2017-06-01 10:40:00,93.6,86.38919
2017-06-01 10:45:00,92.8,85.458855
2017-06-01 10:50:00,88.0,84.994484
2017-06-01 10:55:00,88.2,84.37708
2017-06-01 11:00:00,87.6,83.32819
2017-06-01 11:05:00,87.0,81.736855
2017-06-01 11:10:00,87.4,78.60582
2017-06-01 11:15:00,89.33333333333331,75.00063
2017-06-01 11:20:00,84.4,69.37672
2017-06-01 11:25:00,83.6,61.455303
2017-06-01 11:30:00,84.6,51.73482
2017-06-01 11:35:00,84.2,41.72478
2017-06-01 11:40:00,82.0,33.125584
2017-06-01 11:45:00,84.0,26.54551
2017-06-01 11:50:00,83.4,22.932854
2017-06-01 11:55:00,85.8,22.66488
2017-06-01 12:00:00,87.2,24.935055
2017-06-01 12:05:00,87.2,26.90486
2017-06-01 12:10:00,82.6,27.519691
2017-06-01 12:15:00,83.0,27.090832
2017-06-01 12:20:00,84.6,26.2259
2017-06-01 12:25:00,81.8,25.03839
2017-06-01 12:30:00,80.8,23.86034
2017-06-01 12:35:00,82.8,22.998434
2017-06-01 12:40:00,75.8,22.699131
2017-06-01 12:45:00,68.4,22.783535
2017-06-01 12:50:00,66.8,22.887642
2017-06-01 12:55:00,60.599999999999994,22.992596
2017-06-01 13:00:00,65.0,22.885128
2017-06-01 13:05:00,74.8,22.869358
2017-06-01 13:10:00,80.8,22.869717
2017-06-01 13:15:00,83.4,22.993887
2017-06-01 13:20:00,87.2,23.213005
2017-06-01 13:25:00,83.0,23.514954
2017-06-01 13:30:00,76.6,23.811844
2017-06-01 13:35:00,72.5,24.22284
2017-06-01 13:40:00,55.6,24.597113
2017-06-01 13:45:00,68.8,24.776604
2017-06-01 13:50:00,66.8,24.899809
2017-06-01 13:55:00,77.0,25.022856
2017-06-01 14:00:00,81.6,24.895658
2017-06-01 14:05:00,80.8,24.872389
2017-06-01 14:10:00,81.4,24.684841
2017-06-01 14:15:00,71.0,24.345764
2017-06-01 14:20:00,49.50000000000001,24.100662
2017-06-01 14:25:00,36.4,23.852634
2017-06-01 14:30:00,34.400000000000006,23.525171
2017-06-01 14:35:00,36.0,23.261
2017-06-01 14:40:00,28.66666666666667,23.0613
2017-06-01 14:45:00,27.8,22.929714
2017-06-01 14:50:00,29.2,22.928131
2017-06-01 14:55:00,29.2,22.91527
2017-06-01 15:00:00,29.6,22.903788
2017-06-01 15:05:00,27.2,22.859446
2017-06-01 15:10:00,29.799999999999997,22.724041
2017-06-01 15:15:00,26.8,22.667738
2017-06-01 15:20:00,31.000000000000004,22.632488
2017-06-01 15:25:00,27.6,22.571192
2017-06-01 15:30:00,32.4,22.596807
2017-06-01 15:35:00,21.4,22.61935
2017-06-01 15:40:00,27.2,22.760775
2017-06-01 15:45:00,32.0,22.846373
2017-06-01 15:50:00,24.4,22.897097
2017-06-01 15:55:00,27.2,22.914478
2017-06-01 16:00:00,27.2,22.878174
2017-06-01 16:05:00,31.400000000000006,22.869896
2017-06-01 16:10:00,33.8,22.84735
2017-06-01 16:15:00,25.6,22.844389
2017-06-01 16:20:00,27.2,22.862677
2017-06-01 16:25:00,28.8,22.840769
2017-06-01 16:30:00,23.0,22.87871
