Date,Real,Predictions
2017-01-10 00:25:00,87.0,87.04774
2017-01-10 01:10:00,73.0,87.65328
2017-01-10 01:25:00,92.0,86.02971
2017-01-10 01:30:00,92.0,85.0905
2017-01-10 01:50:00,93.0,84.83496
2017-01-10 01:55:00,93.0,84.167274
2017-01-10 03:25:00,91.0,80.566444
2017-01-10 04:35:00,53.0,76.88083
2017-01-10 04:40:00,53.0,77.12318
2017-01-10 05:35:00,92.0,64.19366
2017-01-10 05:40:00,92.0,64.744415
2017-01-10 05:45:00,56.0,70.11238
2017-01-10 06:35:00,91.0,89.831726
2017-01-10 06:40:00,88.6,90.40962
2017-01-10 06:45:00,87.0,89.695
2017-01-10 06:50:00,90.0,87.94018
2017-01-10 06:55:00,87.0,85.058426
2017-01-10 07:00:00,80.4,77.383965
2017-01-10 07:05:00,80.8,76.017296
2017-01-10 07:10:00,86.0,81.21097
2017-01-10 07:15:00,83.5,85.01933
2017-01-10 07:20:00,76.5,85.95905
2017-01-10 07:25:00,76.0,85.58896
2017-01-10 07:30:00,72.8,85.036865
2017-01-10 07:35:00,74.0,83.93124
2017-01-10 07:40:00,77.4,82.360245
2017-01-10 07:45:00,76.8,78.75177
2017-01-10 07:50:00,77.8,76.83004
2017-01-10 07:55:00,81.8,80.70531
2017-01-10 08:00:00,89.2,84.577034
2017-01-10 08:05:00,87.6,86.23078
2017-01-10 08:10:00,77.4,85.72479
2017-01-10 08:15:00,76.75,83.18139
2017-01-10 08:20:00,79.2,75.048836
2017-01-10 08:25:00,80.6,55.212063
2017-01-10 08:30:00,71.6,35.19325
2017-01-10 08:35:00,87.0,27.655087
2017-01-10 08:40:00,71.4,26.365572
2017-01-10 08:45:00,83.4,27.178133
2017-01-10 08:50:00,79.8,28.114689
2017-01-10 08:55:00,82.8,28.209448
2017-01-10 09:00:00,86.6,27.65121
2017-01-10 09:05:00,95.75,27.008429
2017-01-10 09:10:00,90.2,26.600912
2017-01-10 09:15:00,81.8,26.490889
2017-01-10 09:20:00,97.33333333333331,26.889668
2017-01-10 09:25:00,93.4,27.505327
2017-01-10 09:30:00,94.0,27.820192
2017-01-10 09:35:00,88.4,27.734106
2017-01-10 09:40:00,87.6,27.402437
2017-01-10 09:45:00,97.25,27.020355
2017-01-10 09:50:00,95.2,26.760483
2017-01-10 09:55:00,95.2,26.712574
2017-01-10 10:00:00,97.8,27.010273
2017-01-10 10:05:00,99.8,27.666275
2017-01-10 10:10:00,95.75,28.649862
2017-01-10 10:15:00,95.0,29.796043
2017-01-10 10:20:00,94.4,30.839352
2017-01-10 10:25:00,94.0,31.830172
2017-01-10 10:30:00,93.0,32.31332
2017-01-10 10:35:00,94.25,31.892496
2017-01-10 10:40:00,97.6,30.758966
2017-01-10 10:45:00,100.75,29.550615
2017-01-10 10:50:00,101.66666666666669,28.780073
2017-01-10 10:55:00,97.0,28.46717
2017-01-10 11:00:00,91.0,28.571789
2017-01-10 11:05:00,91.0,29.00626
2017-01-10 11:10:00,87.6,30.230856
2017-01-10 11:15:00,91.0,32.796852
2017-01-10 11:20:00,94.8,39.27674
2017-01-10 11:25:00,97.2,49.051804
2017-01-10 11:30:00,92.0,58.28485
2017-01-10 11:35:00,92.2,74.08049
2017-01-10 11:40:00,95.6,84.17758
2017-01-10 11:45:00,99.0,86.15246
2017-01-10 11:50:00,97.0,87.21103
2017-01-10 11:55:00,104.0,87.18661
2017-01-10 12:00:00,105.8,86.991646
2017-01-10 12:05:00,109.0,86.967354
2017-01-10 12:10:00,100.6,87.81752
2017-01-10 12:15:00,98.2,88.38453
2017-01-10 12:20:00,93.0,88.59706
2017-01-10 12:25:00,97.0,88.617226
2017-01-10 12:30:00,98.0,87.96526
2017-01-10 12:35:00,98.0,87.5919
2017-01-10 12:40:00,99.2,87.628296
2017-01-10 12:45:00,93.0,87.77091
2017-01-10 12:50:00,92.4,87.879234
2017-01-10 12:55:00,89.5,88.00051
2017-01-10 13:00:00,83.0,88.00266
2017-01-10 13:05:00,75.2,88.47921
2017-01-10 13:10:00,71.6,89.11991
2017-01-10 13:15:00,66.8,89.30151
2017-01-10 13:20:00,66.0,89.67244
2017-01-10 13:25:00,64.5,89.68087
2017-01-10 13:30:00,64.0,89.38462
2017-01-10 13:35:00,68.8,89.356026
2017-01-10 13:40:00,73.75,89.42584
2017-01-10 13:45:00,74.0,89.09152
2017-01-10 13:50:00,75.0,88.87417
2017-01-10 13:55:00,78.0,88.77253
2017-01-10 14:00:00,78.0,88.6754
2017-01-10 14:05:00,78.0,88.38302
2017-01-10 14:10:00,78.0,87.97804
2017-01-10 14:15:00,79.6,87.887886
2017-01-10 14:20:00,90.2,87.571014
2017-01-10 14:25:00,77.5,86.88339
2017-01-10 14:30:00,76.0,86.06867
2017-01-10 14:35:00,82.2,85.474815
2017-01-10 14:40:00,80.4,85.33112
2017-01-10 14:45:00,80.0,85.39962
2017-01-10 14:50:00,82.33333333333333,85.46573
2017-01-10 14:55:00,82.0,85.805695
2017-01-10 15:00:00,81.0,86.00959
2017-01-10 15:05:00,86.8,85.73368
2017-01-10 15:10:00,97.8,85.59899
2017-01-10 15:15:00,92.4,85.84883
2017-01-10 15:20:00,88.6,86.16413
2017-01-10 15:25:00,88.2,86.43906
2017-01-10 15:30:00,95.6,86.194466
2017-01-10 15:35:00,93.8,85.589264
2017-01-10 15:40:00,94.8,85.224266
2017-01-10 15:45:00,89.4,84.96557
2017-01-10 15:50:00,89.2,84.99084
2017-01-10 15:55:00,89.8,85.48329
2017-01-10 16:00:00,92.0,85.72504
2017-01-10 16:05:00,92.33333333333331,85.33926
2017-01-10 16:10:00,93.4,84.9192
2017-01-10 16:15:00,95.0,84.55853
2017-01-10 16:20:00,96.25,84.09574
2017-01-10 16:25:00,94.4,84.374374
2017-01-10 16:30:00,94.0,85.130005
2017-01-10 16:35:00,94.5,86.16396
2017-01-10 16:40:00,90.0,86.48848
2017-01-10 16:45:00,93.6,86.159874
2017-01-10 16:50:00,97.6,85.6517
2017-01-10 16:55:00,95.0,85.34675
2017-01-10 17:00:00,89.6,84.989204
2017-01-10 17:05:00,86.6,84.5439
2017-01-10 17:10:00,89.0,83.70349
2017-01-10 17:15:00,92.2,77.34121
2017-01-10 17:20:00,95.4,58.550865
2017-01-10 17:25:00,91.2,43.787014
2017-01-10 17:30:00,91.0,42.1903
2017-01-10 17:35:00,99.2,43.99214
