ID,lat,long,percentage,address,region
1,41.00216,29.02847,3.93,"Dr. Eyup Aksoy Caddesi, Rasimpasa Mahallesi",Kadikoy
2,40.99275,29.03399,25.35,"Sogutlucesme Parki, Taskopru Caddesi, Rasimpasa Mahallesi",Kadikoy
3,40.98368,29.03992,92.9,"Mado, Bagdat Caddesi, Zuhtupasa Mahallesi",Kadikoy
16,40.93563,29.33121,68.18,"O-4, Fatih Mahallesi, Orhanli",Pendik
17,40.92152,29.32182,67.85,"Teknopark, Sanayi Mahallesi",Pendik
18,40.91783,29.32197,58.84,"Teknopark, Sanayi Mahallesi",Pendik
19,40.90207,29.32784,58.1,"E-80 Baglanti Yolu, Sanayi Mahallesi, Orhanli",Tuzla
20,40.89441,29.32677,3.77,"E-80 Baglanti Yolu, Sanayi Mahallesi, Orhanli",Tuzla
21,40.8844,29.32081,92.26,"E-80 Baglanti Yolu, Sanayi Mahallesi",Pendik
22,40.87784,29.31069,80.11,"E-80 Baglanti Yolu, Sanayi Mahallesi",Pendik
23,40.8772,29.30456,80.17,"E-80 Baglanti Yolu, Camcesme Mahallesi",Pendik
24,40.87186,29.2876,92.44,"E-80 Baglanti Yolu, Camcesme Mahallesi",Pendik
25,40.86926,29.27631,86.04,"E-80 Baglanti Yolu, Camcesme Mahallesi",Pendik
26,40.9008,29.20643,11.9,Cavusoglu Mahallesi,Kartal
27,40.88916,29.20706,7.99,Yunus Mahallesi,Kartal
28,40.88565,29.20704,3.25,Yunus Mahallesi,Kartal
29,40.97779,29.20878,39.09,"D100 - E80 Baglanti Yolu, Ferhatpasa Mahallesi",Maltepe
30,40.96872,29.2176,86.13,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Sancaktepe
31,40.96365,29.21994,86.09,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Kartal
32,40.9544,29.22186,64.97,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Kartal
33,40.94616,29.21629,56.02,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Kartal
34,40.94012,29.21096,56.28,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Kartal
35,40.92927,29.20633,56.09,"D100 - E80 Baglanti Yolu, Fatih Mahallesi",Kartal
36,40.92086,29.21231,56.34,"D100 - E80 Baglanti Yolu, Gumuspinar Mahallesi",Kartal
37,40.91483,29.2128,92.18,"D100 - E80 Baglanti Yolu, Orta Mahalle",Kartal
38,40.90831,29.21276,92.1,"D100 - E80 Baglanti Yolu, Orta Mahalle",Kartal
39,41.01646,29.07557,10.73,"Gurpinar Caddesi, Bulgurlu Mahallesi",Uskudar
40,41.00578,29.07257,25.82,"Fetih Mahallesi, Ornek",Uskudar
41,40.99672,29.07394,19.5,"Ornek Mahallesi, Ornek",Uskudar
42,41.03679,29.04387,61.58,Beylerbeyi Mahallesi,Uskudar
44,41.03291,29.03994,6.44,Kuzguncuk Mahallesi,Uskudar
45,41.02413,29.03704,2.3,"Icadiye Baglarbasi Caddesi, Icadiye Mahallesi",Uskudar
48,41.08276,29.08302,51.12,"Ataturk Caddesi, Goztepe Mahallesi, Goksu",Beykoz
49,41.08848,29.08924,91.11,"Goztepe Mahallesi, Goksu",Beykoz
50,41.13683,29.12309,11.45,"Elmali Mahallesi, Beykoz Merkez",Beykoz
51,41.1279,29.13431,92.56,"Halit Ulukurt Tuneli, Elmali Mahallesi, Pasabahce",Beykoz
52,41.1212,29.12912,92.57,"Incirkoy Mahallesi, Pasabahce",Beykoz
53,41.11689,29.12007,26.35,"Acarlar Mahallesi, Pasabahce",Beykoz
54,41.11047,29.1159,24.47,"Soguksu Mahallesi, Pasabahce",Beykoz
55,41.10573,29.10362,92.95,"Soguksu Mahallesi, Cubuklu",Beykoz
56,41.10282,29.0975,57.02,"Yeni Riva Yolu, Ruzgarlibahce Mahallesi, Cubuklu",Beykoz
57,41.09068,29.09387,58.93,"Medipol Universitesi Kavacik Yerleskesi, Yeni Riva Yolu, Kavacik Mahallesi, Anadolu Hisari",Beykoz
58,41.08493,29.01222,93.75,"Levent Mahallesi, Levent",Besiktas
59,41.09269,29.02156,84.6,"Org. Izzettin Akarsular Caddesi, Konaklar Mahallesi, Levent",Besiktas
60,41.09154,29.04716,4.22,"Baltalimani Mahallesi, Rumeli Hisari",Sariyer
61,41.09663,29.05287,8.13,"Baltalimani Mahallesi, Rumeli Hisari",Sariyer
62,41.0525,29.00924,82.52,"Yildiz Teknik Universitesi, Barbaros Bulvari, Cihannuma Mahallesi, Abbasaga Mahallesi",Besiktas
63,41.06496,29.01231,93.91,"Esentepe Mahallesi, Esentepe",Sisli
64,41.04764,29.0078,93.67,"Barbaros Bulvari, Cihannuma Mahallesi, Abbasaga Mahallesi",Besiktas
65,41.04229,29.00669,84.76,"Sinan Pasa Camisi, Besiktas Caddesi, Sinanpasa, Sinanpasa Mahallesi, Abbasaga Mahallesi",Besiktas
66,41.15269,29.03208,68.77,"Sariyer - Cayirbasi Yolu, Cumhuriyet",Sariyer
67,41.14705,29.02773,78.02,"Haci Osman Bayiri Caddesi, Cumhuriyet",Sariyer
68,41.13808,29.02589,93.34,Camlitepe,Sariyer
69,41.12442,29.02346,91.77,"Buyukdere Caddesi, Camlitepe",Sariyer
70,41.11388,29.02464,88.42,"Yildiz Teknik Universitesi Ayazaga Kampusu, Buyukdere Caddesi, Huzur, Maslak",Sariyer
71,41.10941,29.02449,90.57,"Noramin Is Merkezi, Buyukdere Caddesi, Huzur, Maslak",Sariyer
